,PlayerID,PlayerTypeID,ClubID,DateStarted
0,240783,3,1,2021-01-01
80,183795,2,1,2021-01-01
118,228493,3,1,2021-01-01
177,252778,3,1,2021-01-01
270,249768,3,4,2021-01-01
278,249768,3,1,2021-01-01
339,245068,3,3,2021-01-01
341,245068,3,7,2021-01-01
353,245068,3,1,2021-01-01
392,245068,3,18,2021-01-01
415,231066,3,15,2021-01-01
443,231066,3,1,2021-01-01
485,220497,2,1,2021-01-01
515,271473,2,1,2021-01-01
575,233217,2,1,2021-01-01
632,199651,2,1,2021-01-01
684,231052,2,17,2021-01-01
688,231052,2,1,2021-01-01
749,231052,2,15,2021-01-01
756,300115,2,28,2021-01-01
765,300115,2,1,2021-01-01
810,100802,2,1,2021-01-01
815,100802,2,14,2021-01-01
836,207349,2,1,2021-01-01
846,293696,2,1,2021-01-01
880,171809,2,1,2021-01-01
892,171809,2,28,2021-01-01
900,172688,1,15,2021-01-01
902,172688,1,13,2021-01-01
925,172688,1,1,2021-01-01
954,234765,1,1,2021-01-01
1008,272741,1,1,2021-01-01
1029,136529,2,1,2021-01-01
1045,136529,2,3,2021-01-01
1077,273514,2,1,2021-01-01
1078,273514,2,13,2021-01-01
1090,235956,3,2,2021-01-01
1126,272499,3,2,2021-01-01
1163,156394,3,2,2021-01-01
1248,231047,3,2,2021-01-01
1329,241859,3,2,2021-01-01
1421,315918,3,2,2021-01-01
1445,259805,3,2,2021-01-01
1506,245098,3,16,2021-01-01
1513,245098,3,2,2021-01-01
1585,316077,2,2,2021-01-01
1666,195334,2,2,2021-01-01
1747,158329,2,2,2021-01-01
1844,171547,2,2,2021-01-01
1892,171547,2,14,2021-01-01
1914,156187,2,11,2021-01-01
1925,156187,2,2,2021-01-01
2002,271884,2,9,2021-01-01
2011,271884,2,27,2021-01-01
2038,271884,2,2,2021-01-01
2062,126619,2,20,2021-01-01
2089,126619,2,2,2021-01-01
2100,126619,2,9,2021-01-01
2115,304535,2,2,2021-01-01
2157,275008,2,2,2021-01-01
2177,122742,2,2,2021-01-01
2197,158081,1,2,2021-01-01
2239,158081,1,10,2021-01-01
2264,220491,2,2,2021-01-01
2271,249756,3,22,2021-01-01
2279,249756,3,13,2021-01-01
2300,249756,3,15,2021-01-01
2362,152660,3,5,2021-01-01
2377,152660,3,15,2021-01-01
2458,282483,2,15,2021-01-01
2521,236890,3,15,2021-01-01
2620,286194,3,26,2021-01-01
2628,286194,3,15,2021-01-01
2655,293691,3,15,2021-01-01
2687,293691,3,17,2021-01-01
2711,305123,3,15,2021-01-01
2737,139703,2,15,2021-01-01
2828,87387,2,15,2021-01-01
2891,330368,2,15,2021-01-01
2933,252351,2,7,2021-01-01
2942,252351,2,15,2021-01-01
2999,217109,2,21,2021-01-01
3022,217109,2,15,2021-01-01
3070,276283,2,15,2021-01-01
3097,311165,2,15,2021-01-01
3126,237957,2,15,2021-01-01
3173,325001,2,15,2021-01-01
3200,274296,2,15,2021-01-01
3282,192512,2,15,2021-01-01
3299,267109,1,15,2021-01-01
3336,315919,1,15,2021-01-01
3379,175968,1,15,2021-01-01
3429,221277,2,3,2021-01-01
3492,75621,2,3,2021-01-01
3545,285613,3,3,2021-01-01
3623,258441,3,3,2021-01-01
3658,270788,3,3,2021-01-01
3724,160971,3,3,2021-01-01
3806,192080,3,3,2021-01-01
3867,285384,2,3,2021-01-01
3885,144509,2,3,2021-01-01
3962,279977,2,3,2021-01-01
4022,303585,2,3,2021-01-01
4068,303577,2,3,2021-01-01
4141,249943,1,3,2021-01-01
4179,249943,1,20,2021-01-01
4197,167387,1,3,2021-01-01
4234,167387,1,21,2021-01-01
4263,233047,1,3,2021-01-01
4330,303692,2,3,2021-01-01
4357,25891,1,3,2021-01-01
4393,233045,3,7,2021-01-01
4492,56962,2,7,2021-01-01
4531,130467,3,7,2021-01-01
4617,251801,3,7,2021-01-01
4712,252686,3,5,2021-01-01
4730,252686,3,7,2021-01-01
4748,252686,3,4,2021-01-01
4774,285250,2,5,2021-01-01
4802,146408,2,7,2021-01-01
4866,286841,3,7,2021-01-01
4901,315920,2,7,2021-01-01
4923,201136,2,22,2021-01-01
4931,201136,2,7,2021-01-01
4973,201136,2,8,2021-01-01
4992,146410,2,7,2021-01-01
5041,297118,2,29,2021-01-01
5046,297118,2,7,2021-01-01
5072,297118,2,28,2021-01-01
5094,242949,1,7,2021-01-01
5145,162946,1,2,2021-01-01
5153,162946,1,7,2021-01-01
5216,162716,1,11,2021-01-01
5222,162716,1,7,2021-01-01
5275,163161,1,7,2021-01-01
5322,182610,1,2,2021-01-01
5344,182610,1,7,2021-01-01
5368,182610,1,5,2021-01-01
5387,302990,2,7,2021-01-01
5390,262871,2,7,2021-01-01
5415,304623,1,7,2021-01-01
5443,286785,2,7,2021-01-01
5461,136638,3,16,2021-01-01
5467,136638,3,25,2021-01-01
5493,136638,3,5,2021-01-01
5552,180113,3,5,2021-01-01
5632,152740,2,5,2021-01-01
5670,156157,2,5,2021-01-01
5779,177694,2,9,2021-01-01
5806,177694,2,5,2021-01-01
5865,236342,2,10,2021-01-01
5904,236342,2,5,2021-01-01
5929,172267,2,5,2021-01-01
6004,293694,2,5,2021-01-01
6043,231098,2,1,2021-01-01
6061,231098,2,5,2021-01-01
6107,286319,1,7,2021-01-01
6109,286319,1,5,2021-01-01
6143,141243,1,5,2021-01-01
6169,231055,2,9,2021-01-01
6187,238438,3,2,2021-01-01
6194,238438,3,9,2021-01-01
6247,176044,3,10,2021-01-01
6259,176044,3,9,2021-01-01
6273,176044,3,24,2021-01-01
6293,146355,3,9,2021-01-01
6351,200836,3,9,2021-01-01
6427,245592,3,9,2021-01-01
6502,289449,2,9,2021-01-01
6516,234879,3,11,2021-01-01
6524,234879,3,19,2021-01-01
6543,234879,3,9,2021-01-01
6593,287963,2,9,2021-01-01
6608,287963,2,13,2021-01-01
6629,219271,2,9,2021-01-01
6703,231155,2,9,2021-01-01
6738,129265,1,9,2021-01-01
6777,274109,1,9,2021-01-01
6790,294177,1,9,2021-01-01
6802,236037,2,9,2021-01-01
6823,246766,1,11,2021-01-01
6824,246766,1,1,2021-01-01
6842,246766,1,9,2021-01-01
6851,246766,1,5,2021-01-01
6885,153255,2,9,2021-01-01
6943,261589,2,9,2021-01-01
6954,261589,2,23,2021-01-01
6981,159296,3,4,2021-01-01
7032,159296,3,21,2021-01-01
7043,225615,3,11,2021-01-01
7049,225615,3,27,2021-01-01
7068,225615,3,4,2021-01-01
