,PlayerID,PlayerTypeID,ClubID,DateStarted
0,240783,3,1,2021-01-01
32,252778,3,1,2021-01-01
66,249768,3,1,2021-01-01
94,245068,3,7,2021-01-01
106,245068,3,1,2021-01-01
123,231066,3,15,2021-01-01
146,271473,2,1,2021-01-01
163,233217,2,1,2021-01-01
183,231052,2,1,2021-01-01
205,300115,2,28,2021-01-01
214,300115,2,1,2021-01-01
230,100802,2,1,2021-01-01
231,293696,2,1,2021-01-01
239,172688,1,13,2021-01-01
262,234765,1,1,2021-01-01
278,272741,1,1,2021-01-01
280,272499,3,2,2021-01-01
294,156394,3,2,2021-01-01
327,231047,3,2,2021-01-01
358,241859,3,2,2021-01-01
383,259805,3,2,2021-01-01
389,245098,3,2,2021-01-01
415,316077,2,2,2021-01-01
444,195334,2,2,2021-01-01
470,158329,2,2,2021-01-01
495,171547,2,2,2021-01-01
515,156187,2,11,2021-01-01
522,156187,2,2,2021-01-01
537,271884,2,27,2021-01-01
564,126619,2,20,2021-01-01
587,304535,2,2,2021-01-01
608,158081,1,2,2021-01-01
622,249756,3,13,2021-01-01
643,249756,3,15,2021-01-01
649,152660,3,5,2021-01-01
657,152660,3,15,2021-01-01
677,282483,2,15,2021-01-01
697,236890,3,15,2021-01-01
726,305123,3,15,2021-01-01
737,139703,2,15,2021-01-01
765,87387,2,15,2021-01-01
781,330368,2,15,2021-01-01
804,217109,2,21,2021-01-01
827,276283,2,15,2021-01-01
831,311165,2,15,2021-01-01
835,237957,2,15,2021-01-01
848,274296,2,15,2021-01-01
877,267109,1,15,2021-01-01
890,315919,1,15,2021-01-01
908,175968,1,15,2021-01-01
920,285613,3,3,2021-01-01
948,270788,3,3,2021-01-01
974,160971,3,3,2021-01-01
994,192080,3,3,2021-01-01
1012,144509,2,3,2021-01-01
1040,279977,2,3,2021-01-01
1056,303585,2,3,2021-01-01
1067,303577,2,3,2021-01-01
1098,249943,1,3,2021-01-01
1106,167387,1,3,2021-01-01
1123,233047,1,3,2021-01-01
1148,303692,2,3,2021-01-01
1150,233045,3,7,2021-01-01
1178,130467,3,7,2021-01-01
1207,251801,3,7,2021-01-01
1236,252686,3,5,2021-01-01
1254,146408,2,7,2021-01-01
1275,315920,2,7,2021-01-01
1278,201136,2,22,2021-01-01
1286,201136,2,7,2021-01-01
1302,297118,2,7,2021-01-01
1316,242949,1,7,2021-01-01
1328,162946,1,7,2021-01-01
1342,162716,1,11,2021-01-01
1348,162716,1,7,2021-01-01
1356,163161,1,7,2021-01-01
1357,182610,1,2,2021-01-01
1377,262871,2,7,2021-01-01
1386,304623,1,7,2021-01-01
1395,286785,2,7,2021-01-01
1412,136638,3,25,2021-01-01
1438,180113,3,5,2021-01-01
1471,152740,2,5,2021-01-01
1475,156157,2,5,2021-01-01
1507,177694,2,9,2021-01-01
1529,236342,2,10,2021-01-01
1560,172267,2,5,2021-01-01
1580,293694,2,5,2021-01-01
1596,231098,2,1,2021-01-01
1613,286319,1,7,2021-01-01
1615,286319,1,5,2021-01-01
1619,141243,1,5,2021-01-01
1625,238438,3,9,2021-01-01
1643,176044,3,10,2021-01-01
1653,146355,3,9,2021-01-01
1667,200836,3,9,2021-01-01
1693,245592,3,9,2021-01-01
1724,289449,2,9,2021-01-01
1736,234879,3,11,2021-01-01
1744,234879,3,19,2021-01-01
1763,219271,2,9,2021-01-01
1795,236037,2,9,2021-01-01
1801,246766,1,1,2021-01-01
1819,159296,3,4,2021-01-01
1837,225615,3,27,2021-01-01
1856,201354,3,4,2021-01-01
1884,180468,3,4,2021-01-01
1911,199958,2,4,2021-01-01
1940,279454,2,4,2021-01-01
1972,171673,1,4,2021-01-01
