MatchClubPlayerID,PlayerID,PlayerTypeID,MatchID,ClubID,SubstitutedForPlayer,SubstitutionTime,Played
0,221408,4,692718,6,,,1
1,319014,2,692718,6,,,1
2,159461,3,692718,6,,,1
3,172923,3,692718,6,,,1
4,252825,3,692718,6,,,1
5,195532,2,692718,6,5289.0,53',1
6,282755,2,692718,6,246371.0,61',1
7,7567,2,692718,6,,,1
8,241544,1,692718,6,322064.0,61',1
9,340596,1,692718,6,331314.0,78',1
10,312976,1,692718,6,,,1
11,231059,4,692718,14,,,1
12,101934,3,692718,14,,,1
13,337030,3,692718,14,,,1
14,260554,2,692718,14,,,1
15,183726,2,692718,14,,,1
16,245570,2,692718,14,,,1
17,286669,2,692718,14,302991.0,81',1
18,260213,3,692718,14,,,1
19,294039,1,692718,14,127520.0,60',1
20,167140,2,692718,14,287784.0,60',1
21,195992,2,692718,14,325359.0,77',1
22,318153,3,692718,6,,,0
23,312130,3,692718,6,,,0
24,6746,4,692718,6,,,0
25,203304,2,692718,6,,,0
26,286759,2,692718,6,,,0
27,288982,2,692718,14,,,0
28,233976,3,692718,14,,,0
29,334038,3,692718,14,,,0
30,156309,3,692718,14,,,0
31,184300,4,692718,14,,,0
32,217162,4,692729,11,,,1
33,103029,3,692729,11,183779.0,61',1
34,105803,3,692729,11,,,1
35,297050,3,692729,11,,,1
36,286198,2,692729,11,287252.0,65',1
37,156228,2,692729,11,,,1
38,270611,2,692729,11,,,1
39,193171,2,692729,11,,,1
40,240110,1,692729,11,246766.0,85',1
41,295005,1,692729,11,133111.0,85',1
42,256843,1,692729,11,156187.0,65',1
43,174703,4,692729,25,,,1
44,236882,3,692729,25,,,1
45,231150,3,692729,25,,,1
46,223355,3,692729,25,300420.0,87',1
47,187236,3,692729,25,,,1
48,199963,2,692729,25,153289.0,77',1
49,333752,2,692729,25,246337.0,57',1
50,251806,2,692729,25,,,1
51,295339,1,692729,25,251805.0,45',1
52,207638,1,692729,25,302893.0,57',1
53,73200,2,692729,25,,,1
54,225615,3,692729,11,,,0
55,96526,3,692729,11,,,0
56,96526,2,692729,11,,,0
57,293674,1,692729,11,,,0
58,322058,4,692729,11,,,0
59,281494,3,692729,25,,,0
60,229876,3,692729,25,,,0
61,380800,3,692729,25,,,0
62,303277,4,692729,25,,,0
63,56935,4,692719,1,,,1
64,215441,3,692719,1,,,1
65,319441,3,692719,1,240783.0,45',1
66,304152,3,692719,1,,,1
67,252778,3,692719,1,,,1
68,277208,2,692719,1,,,1
69,255802,2,692719,1,304153.0,60',1
70,288479,2,692719,1,,,1
71,351302,1,692719,1,239525.0,60',1
72,285358,2,692719,1,219188.0,60',1
73,221128,2,692719,1,303508.0,86',1
74,184960,4,692719,4,,,1
75,187273,3,692719,4,,,1
76,249768,3,692719,4,,,1
77,201354,3,692719,4,296216.0,43',1
78,279180,2,692719,4,356926.0,89',1
79,275106,2,692719,4,,,1
80,199958,2,692719,4,,,1
81,276305,1,692719,4,159296.0,89',1
82,183778,3,692719,4,294215.0,90',1
83,220573,1,692719,4,260212.0,76',1
84,171673,1,692719,4,,,1
85,284636,2,692719,1,,,0
86,254291,4,692719,1,,,0
87,75577,2,692719,1,,,0
88,304154,3,692719,1,,,0
89,185800,1,692719,4,,,0
90,362895,2,692719,4,,,0
91,286803,3,692719,4,,,0
92,242975,4,692719,4,,,0
93,303555,4,692717,15,,,1
94,236890,3,692717,15,,,1
95,292011,3,692717,15,,,1
96,231066,3,692717,15,,,1
97,274296,2,692717,15,,,1
98,87387,2,692717,15,311163.0,83',1
99,237164,3,692717,15,261401.0,90'+3',1
100,251864,3,692717,15,237957.0,76',1
101,267109,1,692717,15,315919.0,76',1
102,222765,1,692717,15,,,1
103,302238,2,692717,15,275859.0,83',1
104,150334,4,692717,20,,,1
105,147256,3,692717,20,,,1
106,311532,3,692717,20,,,1
107,236641,3,692717,20,,,1
108,285939,2,692717,20,,,1
109,67518,2,692717,20,203974.0,85',1
110,181558,2,692717,20,,,1
111,291218,2,692717,20,,,1
112,151510,1,692717,20,294071.0,63',1
113,250448,2,692717,20,,,1
114,105957,2,692717,20,233401.0,77',1
115,311165,2,692717,15,,,0
116,252607,4,692717,15,,,0
117,139703,2,692717,15,,,0
118,308788,2,692717,15,,,0
119,17478,3,692717,20,,,0
120,275160,1,692717,20,,,0
121,126619,2,692717,20,,,0
122,255476,3,692717,20,,,0
123,231193,4,692717,20,,,0
124,309258,2,692717,20,,,0
125,275080,4,692721,5,,,1
126,152660,3,692721,5,296221.0,76',1
127,271075,3,692721,5,,,1
128,180113,3,692721,5,,,1
129,293826,2,692721,5,,,1
130,156157,2,692721,5,,,1
131,334227,3,692721,5,297121.0,45',1
132,317021,3,692721,5,,,1
133,336809,1,692721,5,,,1
134,173386,2,692721,5,264469.0,76',1
135,235817,1,692721,5,,,1
136,257619,4,692721,22,,,1
137,249756,3,692721,22,,,1
138,168478,3,692721,22,,,1
139,235873,3,692721,22,,,1
140,302672,3,692721,22,187782.0,87',1
141,86436,2,692721,22,,,1
142,231057,2,692721,22,228578.0,62',1
143,71042,2,692721,22,,,1
144,202539,1,692721,22,290715.0,88',1
145,129395,1,692721,22,171513.0,69',1
146,285201,1,692721,22,,,1
147,224640,4,692721,5,,,0
148,359542,2,692721,5,,,0
149,362812,2,692721,5,,,0
150,240232,2,692721,5,,,0
151,285203,1,692721,5,,,0
152,239736,2,692721,5,,,0
153,302907,3,692721,22,,,0
154,98448,3,692721,22,,,0
155,254340,4,692721,22,,,0
156,273399,1,692721,22,,,0
157,245083,4,692716,13,,,1
158,183316,3,692716,13,,,1
159,358595,3,692716,13,,,1
160,242613,3,692716,13,,,1
161,282589,3,692716,13,,,1
162,121893,2,692716,13,,,1
163,229289,2,692716,13,,,1
164,251800,2,692716,13,329025.0,74',1
165,125088,1,692716,13,356358.0,88',1
166,192278,2,692716,13,311088.0,41',1
167,45843,1,692716,13,,,1
168,246389,4,692716,17,156217.0,45',1
169,334716,3,692716,17,255501.0,51',1
170,201353,3,692716,17,,,1
171,266454,3,692716,17,,,1
172,8894,2,692716,17,254292.0,74',1
173,260887,2,692716,17,231052.0,74',1
174,116825,2,692716,17,223034.0,85',1
175,286214,1,692716,17,,,1
176,233041,2,692716,17,,,1
