,ClubID,MatchClubTypeID,MatchID,Formation,Score
0,6,1,692718,4-2-3-1,0
1,11,1,692729,4-3-3,4
2,1,1,692719,4-2-3-1,1
3,15,1,692717,3-4-2-1,2
4,5,1,692721,3-4-2-1,2
5,13,1,692716,4-3-3,3
6,19,1,692720,4-2-3-1,2
7,28,1,692722,3-4-2-1,1
8,3,1,692723,4-2-3-1,0
9,10,1,692724,4-3-3,0
10,26,1,692725,4-2-3-1,3
11,7,1,692726,4-2-3-1,2
12,12,1,692728,4-3-3,2
13,24,1,692727,4-2-3-1,0
14,1,1,692714,4-2-3-1,2
15,27,1,692715,4-2-3-1,1
16,22,1,692703,4-2-3-1,2
17,15,1,692708,3-4-3,2
18,6,1,692705,4-2-3-1,3
19,9,1,692707,3-4-3,2
20,19,1,692704,4-2-3-1,2
21,18,1,692706,4-4-2,0
22,8,1,692710,3-4-2-1,0
23,14,1,692709,4-2-3-1,1
24,26,1,692711,4-2-3-1,2
25,23,1,692712,4-2-3-1,0
26,25,1,692713,4-3-3,0
27,29,1,692702,3-4-3-d,1
28,26,1,692701,4-3-3,3
29,5,1,692690,3-4-2-1,1
30,4,1,692691,3-4-1-2,1
31,13,1,692692,4-1-4-1,2
32,16,1,692693,4-2-3-1,1
33,19,1,692689,4-2-3-1,1
34,29,1,692688,3-4-3,4
35,12,1,692694,4-3-3,2
36,2,1,692698,4-2-3-1,4
37,3,1,692697,4-2-3-1,2
38,14,1,692696,4-3-3,1
39,17,1,692695,3-5-2,1
40,27,1,692699,4-2-3-1,0
41,24,1,692700,4-2-3-1,5
42,1,1,692687,4-2-3-1,3
43,21,1,692675,4-1-2-1-2,2
44,7,1,692676,4-2-3-1,3
45,6,1,692681,4-3-3,1
46,9,1,692680,4-2-3-1,1
47,13,1,692679,4-3-3,1
48,20,1,692678,4-4-2,1
49,28,1,692677,3-4-2-1,1
50,2,1,692684,4-2-3-1,2
51,10,1,692682,4-2-3-1,2
52,17,1,692683,3-5-2,2
53,23,1,692685,4-2-3-1,3
54,11,1,692686,4-4-2,1
55,29,1,692674,3-4-2-1,3
56,16,1,692662,4-2-3-1,1
57,18,1,692663,4-4-2,4
58,6,1,692666,4-2-3-1,2
59,4,1,692664,3-4-1-2,1
60,20,1,692665,4-4-2,2
61,28,1,692667,3-4-2-1,2
62,29,1,692661,3-4-2-1,1
63,26,1,692668,4-2-2-2,2
64,27,1,692669,4-3-3,2
65,7,1,692670,4-2-3-1,0
66,12,1,692672,4-3-3,5
67,22,1,692671,4-2-3-1,1
68,25,1,692673,4-3-3,3
69,16,1,692659,4-2-3-1,1
70,1,1,692660,4-2-3-1,2
71,3,1,692647,4-2-3-1,4
72,9,1,692648,4-1-3-2,1
73,24,1,692649,4-4-2,1
74,5,1,692650,3-4-2-1,3
75,19,1,692651,4-3-3,2
76,2,1,692652,4-3-3,2
77,8,1,692657,4-2-3-1,1
78,10,1,692656,4-2-3-1,1
79,14,1,692653,4-2-3-1,2
80,17,1,692655,4-2-3-1,2
81,26,1,692654,4-3-3,2
82,11,1,692658,4-3-3,3
83,4,1,692644,3-4-1-2,0
84,17,1,692645,3-4-2-1,2
85,13,1,692646,3-5-2,2
86,19,1,692633,4-2-3-1,1
87,28,1,692634,3-4-2-1,1
88,1,1,692635,4-2-3-1,4
89,5,1,692637,3-4-2-1,2
90,18,1,692639,4-2-3-1,2
91,20,1,692638,4-2-3-1,2
92,2,1,692640,4-2-3-1,2
93,23,1,692641,4-2-3-1,1
94,12,1,692642,4-3-3,0
95,25,1,692643,4-2-3-1,0
96,16,1,692632,4-2-3-1,0
97,14,1,692620,4-3-3,1
98,23,1,692621,4-2-3-1,3
99,13,1,692622,4-3-3,5
100,29,1,692619,4-3-3,1
101,3,1,692624,3-4-3,1
102,8,1,692625,3-4-2-1,1
103,10,1,692627,4-3-3,1
104,26,1,692626,4-3-3,1
105,27,1,692623,4-4-2,2
106,7,1,692628,4-2-3-1,1
107,22,1,692630,4-4-2,2
108,25,1,692629,4-3-3,1
109,24,1,692631,4-2-3-1,0
110,4,1,692616,3-4-1-2,0
111,17,1,692617,4-3-3,0
112,11,1,692618,4-2-3-1,1
113,5,1,692605,3-4-2-1,1
114,12,1,692606,4-3-3,2
115,6,1,692608,4-2-3-1,1
116,9,1,692609,4-2-3-1,3
117,20,1,692607,4-2-3-1,0
118,21,1,692610,4-1-2-1-2,2
119,2,1,692614,4-2-3-1,1
120,8,1,692613,3-4-3,2
121,10,1,692611,3-5-1-1,1
122,27,1,692612,4-2-3-1,1
123,22,1,692615,4-2-3-1,4
124,13,1,692604,4-3-3,2
125,6,1,660065,4-3-3,1
126,5,1,660058,3-4-2-1,2
127,4,1,660057,3-4-1-2,2
128,17,1,660064,4-4-2,0
129,16,1,660061,4-2-3-1,2
130,19,1,660066,4-3-3,1
131,28,1,660060,3-4-2-1,0
132,7,1,660068,4-2-3-1,0
133,11,1,660056,3-4-2-1,1
134,22,1,660063,4-3-3,1
135,25,1,660055,4-2-3-1,1
136,26,1,660059,4-3-3,3
137,27,1,660062,4-2-2-2,0
138,29,1,660067,3-1-4-2,1
139,13,1,659915,4-3-3,2
140,8,1,660034,4-4-2,1
141,17,1,659923,4-4-2,3
142,11,1,659925,4-2-3-1,2
143,1,1,660047,4-2-3-1,1
144,15,1,660041,3-4-3,4
145,9,1,660042,4-3-1-2,2
146,13,1,660045,5-3-2,0
147,18,1,660044,4-4-1-1,3
148,20,1,660043,4-2-3-1,3
149,21,1,660046,4-3-1-2,0
150,2,1,660049,4-2-3-1,2
151,3,1,660050,4-2-3-1,0
152,8,1,660051,4-4-2,1
153,10,1,660052,4-2-3-1,5
154,14,1,660048,4-2-3-1,5
155,23,1,660053,4-4-2,2
156,24,1,660054,4-2-3-1,0
157,15,1,660030,3-4-1-2,1
158,6,1,660029,4-2-3-1,3
159,4,1,660032,5-3-2,1
160,16,1,660031,4-2-3-1,1
161,21,1,660033,4-3-1-2,3
162,2,1,660037,4-3-3,3
163,3,1,660036,4-2-3-1,4
164,17,1,660035,4-1-2-1-2,0
165,12,1,660038,4-3-3,5
166,24,1,660040,4-2-3-1,2
167,29,1,660039,3-5-2,3
168,12,1,660028,4-3-3,0
169,5,1,660016,3-4-2-1,1
170,13,1,660020,3-5-2,1
171,16,1,660018,3-4-2-1,2
172,18,1,660017,4-4-2,0
173,20,1,660015,4-2-3-1,3
174,28,1,660019,3-4-3,2
175,10,1,660022,3-4-3,0
176,14,1,660023,4-2-3-1,1
177,17,1,660021,4-4-2,0
178,27,1,660024,4-4-2,4
179,7,1,660025,4-2-3-1,1
180,11,1,660027,4-3-3,3
181,29,1,660026,3-5-2,2
182,21,1,659917,4-1-2-1-2,1
183,7,1,659841,4-2-3-1,2
184,2,1,660014,4-3-3,3
185,19,1,660003,4-2-3-1,3
186,20,1,660013,4-2-3-1,1
187,1,1,660002,4-2-3-1,4
188,9,1,660001,4-3-1-2,3
189,4,1,660004,3-4-1-2,3
190,21,1,660005,4-3-1-2,0
191,3,1,660008,4-2-3-1,2
192,8,1,660009,4-2-3-1,1
193,14,1,660006,4-2-3-1,1
194,26,1,660007,4-3-3,2
195,23,1,660010,4-4-2,2
196,22,1,660012,4-2-3-1,3
197,25,1,660011,4-2-3-1,1
198,15,1,659992,3-4-1-2,1
199,6,1,659991,4-2-3-1,2
200,5,1,659990,3-4-2-1,3
201,9,1,659989,4-3-1-2,1
202,13,1,659988,5-3-2,4
203,19,1,659993,4-3-3,2
204,18,1,659987,4-4-2,1
205,10,1,659995,3-4-1-2,4
206,26,1,659994,4-3-3,0
207,27,1,659996,4-3-1-2,0
208,7,1,659997,4-2-3-1,1
209,23,1,659998,4-4-2,1
210,11,1,660000,4-3-3,4
211,22,1,659999,4-2-3-1,2
212,2,1,659986,4-3-3,1
213,19,1,659973,4-3-3,0
214,1,1,659979,4-2-3-1,5
215,15,1,659978,3-5-2,0
216,6,1,659977,4-2-3-1,0
217,20,1,659975,4-2-3-1,4
218,21,1,659974,3-4-1-2,2
219,28,1,659976,4-3-3,1
220,8,1,659981,4-2-3-1,1
221,10,1,659980,4-2-3-1,1
222,14,1,659982,4-2-3-1,0
