,ClubID,MatchClubTypeID,MatchID,Formation,Score
0,6,1,660065,4-3-3,1
1,5,1,660058,3-4-2-1,2
2,4,1,660057,3-4-1-2,2
3,17,1,660064,4-4-2,0
4,16,1,660061,4-2-3-1,2
5,19,1,660066,4-3-3,1
6,28,1,660060,3-4-2-1,0
7,7,1,660068,4-2-3-1,0
8,11,1,660056,3-4-2-1,1
9,22,1,660063,4-3-3,1
10,25,1,660055,4-2-3-1,1
11,26,1,660059,4-3-3,3
12,27,1,660062,4-2-2-2,0
13,29,1,660067,3-1-4-2,1
14,13,1,659915,4-3-3,2
15,8,1,660034,4-4-2,1
16,17,1,659923,4-4-2,3
17,11,1,659925,4-2-3-1,2
18,1,1,660047,4-2-3-1,1
19,15,1,660041,3-4-3,4
20,9,1,660042,4-3-1-2,2
21,13,1,660045,5-3-2,0
22,18,1,660044,4-4-1-1,3
23,20,1,660043,4-2-3-1,3
24,21,1,660046,4-3-1-2,0
25,2,1,660049,4-2-3-1,2
26,3,1,660050,4-2-3-1,0
27,8,1,660051,4-4-2,1
28,10,1,660052,4-2-3-1,5
29,14,1,660048,4-2-3-1,5
30,23,1,660053,4-4-2,2
31,24,1,660054,4-2-3-1,0
32,15,1,660030,3-4-1-2,1
33,6,1,660029,4-2-3-1,3
34,4,1,660032,5-3-2,1
35,16,1,660031,4-2-3-1,1
36,21,1,660033,4-3-1-2,3
37,2,1,660037,4-3-3,3
38,3,1,660036,4-2-3-1,4
39,17,1,660035,4-1-2-1-2,0
40,12,1,660038,4-3-3,5
41,24,1,660040,4-2-3-1,2
42,29,1,660039,3-5-2,3
43,12,1,660028,4-3-3,0
44,5,1,660016,3-4-2-1,1
45,13,1,660020,3-5-2,1
46,16,1,660018,3-4-2-1,2
47,18,1,660017,4-4-2,0
48,20,1,660015,4-2-3-1,3
49,28,1,660019,3-4-3,2
50,10,1,660022,3-4-3,0
51,14,1,660023,4-2-3-1,1
52,17,1,660021,4-4-2,0
53,27,1,660024,4-4-2,4
54,7,1,660025,4-2-3-1,1
55,11,1,660027,4-3-3,3
56,29,1,660026,3-5-2,2
57,21,1,659917,4-1-2-1-2,1
58,7,1,659841,4-2-3-1,2
59,2,1,660014,4-3-3,3
60,19,1,660003,4-2-3-1,3
61,20,1,660013,4-2-3-1,1
62,1,1,660002,4-2-3-1,4
63,9,1,660001,4-3-1-2,3
64,4,1,660004,3-4-1-2,3
65,21,1,660005,4-3-1-2,0
66,3,1,660008,4-2-3-1,2
67,8,1,660009,4-2-3-1,1
68,14,1,660006,4-2-3-1,1
