MatchClubPlayerID,PlayerTypeID,Saves,Fouls,YellowCards,RedCards
0,4,2,0,0,0
11,4,1,0,0,0
24,4,0,0,0,0
31,4,0,0,0,0
62,4,0,0,0,0
63,4,1,0,0,0
74,4,3,0,0,0
86,4,0,0,0,0
92,4,0,0,0,0
93,4,0,0,0,0
104,4,2,0,0,0
116,4,0,0,0,0
123,4,0,0,0,0
125,4,2,0,0,0
136,4,2,0,0,0
147,4,0,0,0,0
155,4,0,0,0,0
157,4,4,1,0,0
168,4,3,0,0,0
181,4,0,0,0,0
187,4,1,0,0,0
198,4,6,0,0,0
213,4,0,0,0,0
215,4,0,0,0,0
216,4,0,0,0,0
217,4,5,0,0,0
228,4,7,0,0,0
240,4,0,0,0,0
245,4,0,0,0,0
246,4,3,0,0,0
257,4,5,0,0,0
269,4,0,0,0,0
273,4,0,0,0,0
276,4,3,0,0,0
287,4,6,1,0,0
302,4,0,0,0,0
306,4,0,0,0,0
307,4,4,0,0,0
318,4,1,0,0,0
333,4,0,0,0,0
340,4,0,0,0,0
341,4,2,0,0,0
352,4,4,0,0,0
365,4,0,0,0,0
368,4,0,0,0,0
369,4,1,0,0,0
381,4,4,0,0,0
394,4,0,0,0,0
397,4,0,0,0,0
398,4,0,0,0,0
400,4,2,2,0,0
411,4,2,0,0,0
426,4,0,0,0,0
428,4,0,0,0,0
432,4,2,0,0,0
443,4,2,0,0,0
457,4,0,0,0,0
468,4,0,0,0,0
479,4,3,1,0,0
490,4,0,0,0,0
494,4,0,0,0,0
498,4,1,0,1,0
509,4,2,0,0,0
525,4,0,0,0,0
529,4,3,0,0,0
540,4,2,0,0,0
553,4,0,0,0,0
557,4,0,0,0,0
561,4,3,0,0,0
572,4,2,0,0,0
584,4,0,0,0,0
590,4,0,0,0,0
593,4,1,0,0,0
604,4,5,0,0,0
616,4,0,0,0,0
620,4,0,0,0,0
623,4,6,0,0,0
634,4,4,0,0,0
648,4,0,0,0,0
651,4,0,0,0,0
655,4,3,0,0,0
666,4,5,0,0,0
681,4,0,0,0,0
685,4,0,0,0,0
686,4,2,0,0,0
697,4,2,0,0,0
709,4,0,0,0,0
719,4,0,0,0,0
721,4,1,0,0,0
732,4,5,1,0,0
746,4,0,0,0,0
752,4,0,0,0,0
753,4,2,0,0,0
764,4,1,0,0,0
779,4,0,0,0,0
784,4,0,0,0,0
788,4,4,0,0,0
799,4,3,0,0,0
812,4,0,0,0,0
820,4,3,0,0,0
831,4,6,0,0,0
843,4,0,0,0,0
848,4,0,0,0,0
850,4,2,0,0,0
862,4,6,0,0,0
876,4,0,0,0,0
880,4,0,0,0,0
882,4,5,0,0,0
893,4,3,0,0,0
907,4,0,0,0,0
913,4,0,0,0,0
914,4,2,0,0,0
925,4,3,0,0,0
937,4,0,0,0,0
941,4,0,0,0,0
942,4,0,0,0,0
947,4,3,0,0,0
958,4,3,0,0,0
969,4,0,0,0,0
974,4,0,0,0,0
978,4,2,0,0,0
989,4,5,0,0,0
1002,4,0,0,0,0
1004,4,0,0,0,0
1009,4,2,0,0,0
1020,4,2,0,0,0
1031,4,0,0,0,0
1036,4,0,0,0,0
1042,4,5,0,0,0
1053,4,2,0,0,0
1067,4,0,0,0,0
1071,4,0,0,0,0
1076,4,3,0,0,0
1088,4,3,0,0,0
1100,4,0,0,0,0
1105,4,0,0,0,0
1107,4,3,0,0,0
1118,4,7,0,0,0
1130,4,0,0,0,0
1143,4,0,0,0,0
1144,4,5,0,0,0
1155,4,0,0,0,0
1168,4,0,0,0,0
1171,4,0,0,0,0
1174,4,3,0,0,0
1185,4,4,0,0,0
1198,4,0,0,0,0
1204,4,0,0,0,0
1205,4,4,0,0,0
1216,4,6,1,0,0
1229,4,0,0,0,0
1232,4,0,0,0,0
1234,4,3,0,0,0
1245,4,4,2,0,0
1257,4,0,0,0,0
1265,4,0,0,0,0
1268,4,4,0,0,0
1279,4,7,0,0,0
1291,4,0,0,0,0
1296,4,0,0,0,0
1301,4,2,0,0,0
1312,4,6,0,0,0
1325,4,0,0,0,0
1328,4,0,0,0,0
1332,4,3,0,0,0
1343,4,4,0,0,0
1356,4,0,0,0,0
1360,4,0,0,0,0
1362,4,4,1,0,0
1373,4,2,1,0,0
1389,4,0,0,0,0
