MatchClubPlayerID,PlayerTypeID,Goals,Assists,Fouls,Offsides,Shots,ShotsOnTarget,YellowCards,RedCards
1,2,0,0,0,0,0,0,0,0
2,3,0,0,2,0,1,1,0,0
3,3,0,0,0,0,2,0,0,0
4,3,0,0,0,0,0,0,0,0
5,2,0,0,0,0,0,0,0,0
6,2,0,0,0,0,0,0,0,0
7,2,0,0,1,0,0,0,0,0
8,1,0,0,1,2,0,0,0,0
9,1,0,0,1,1,2,0,0,0
10,1,0,0,0,1,1,0,0,0
12,3,0,0,0,0,0,0,0,0
13,3,0,0,2,0,1,0,0,0
14,2,0,0,0,0,1,0,0,0
15,2,0,0,0,0,3,0,0,0
16,2,1,0,3,0,1,1,0,0
17,2,0,0,1,1,0,0,0,0
18,3,0,0,2,0,0,0,0,0
19,1,1,0,2,1,3,2,0,0
20,2,0,1,0,0,1,0,0,0
21,2,1,2,4,0,1,1,0,0
22,3,0,0,0,0,0,0,0,0
23,3,0,0,0,0,0,0,0,0
25,2,0,0,0,0,0,0,0,0
26,2,0,0,0,0,0,0,0,0
27,2,0,0,0,0,0,0,0,0
28,3,0,0,0,0,0,0,0,0
29,3,0,0,0,0,0,0,0,0
30,3,0,0,0,0,0,0,0,0
38,2,1,0,0,0,2,2,1,0
44,3,1,0,1,0,2,2,0,0
45,3,0,0,0,0,1,0,0,0
64,3,0,0,2,0,1,0,0,0
65,3,0,0,0,0,0,0,0,0
66,3,0,0,0,0,1,0,0,0
67,3,0,0,3,0,0,0,0,0
68,2,1,0,1,0,2,1,0,0
69,2,0,0,2,0,1,0,0,0
70,2,0,0,0,0,1,0,0,0
71,1,0,0,0,1,2,0,0,0
72,2,0,1,0,0,2,1,0,0
73,2,0,0,0,0,4,2,0,0
75,3,0,0,0,0,2,0,0,0
76,3,0,0,0,0,0,0,1,0
77,3,0,0,2,0,0,0,0,0
78,2,0,0,0,0,2,0,1,0
79,2,0,0,1,0,1,1,0,0
80,2,1,1,3,0,4,1,1,0
81,1,1,0,0,0,3,1,0,0
82,3,0,1,3,0,0,0,0,0
83,1,0,0,0,0,3,0,0,0
84,1,0,0,0,0,4,0,0,0
85,2,0,0,0,0,0,0,0,0
87,2,0,0,0,0,0,0,0,0
88,3,0,0,0,0,0,0,0,0
89,1,0,0,0,0,0,0,0,0
90,2,0,0,0,0,0,0,0,0
91,3,0,0,0,0,0,0,0,0
94,3,0,0,1,0,0,0,1,0
95,3,0,0,2,1,0,0,1,0
96,3,0,0,2,1,1,0,0,0
97,2,0,0,0,0,0,0,0,0
98,2,0,1,1,0,0,0,0,0
99,3,0,0,1,1,1,0,0,0
100,3,0,0,0,0,0,0,0,0
101,1,1,0,1,0,1,1,0,0
102,1,1,0,1,0,2,2,1,0
103,2,0,0,1,1,2,0,0,0
105,3,0,0,0,0,0,0,1,0
106,3,0,0,0,0,0,0,0,0
107,3,0,0,0,0,0,0,0,0
108,2,0,0,1,2,0,0,0,0
109,2,1,0,0,0,3,1,0,0
110,2,0,0,2,0,0,0,0,0
111,2,0,0,1,0,0,0,1,0
112,1,0,0,1,0,1,0,0,0
113,2,1,0,2,0,2,1,0,0
114,2,0,0,0,0,0,0,0,0
115,2,0,0,0,0,0,0,0,0
117,2,0,0,0,0,0,0,0,0
118,2,0,0,0,0,0,0,0,0
119,3,0,0,0,0,0,0,0,0
120,1,0,0,0,0,0,0,0,0
121,2,0,0,0,0,0,0,0,0
122,3,0,0,0,0,0,0,0,0
124,2,0,0,0,0,0,0,0,0
126,3,0,0,2,0,1,0,0,0
127,3,0,0,0,2,0,0,0,0
128,3,1,0,2,0,2,1,0,0
129,2,0,1,1,0,3,0,0,0
130,2,0,0,0,0,2,0,0,0
131,3,0,0,1,0,0,0,0,0
132,3,0,0,1,0,3,1,0,0
133,1,1,0,0,0,6,1,0,0
134,2,0,0,0,0,2,0,0,0
135,1,0,1,0,0,1,0,0,0
137,3,0,0,0,0,0,0,0,0
138,3,0,0,0,0,1,0,0,0
