MatchID,Location,Date,Attendance
692718,Charlotte North Carolina USA ,2024-04-21,27021
692729,Carson California USA ,2024-04-21,
692719,Atlanta Georgia USA ,2024-04-20,42600
692717,Montreal Canada ,2024-04-20,19619
692721,Columbus Ohio USA ,2024-04-20,20614
692716,Fort Lauderdale Florida USA ,2024-04-20,21550
692720,New York New York USA ,2024-04-20,21073
692722,Toronto Canada ,2024-04-20,
692723,Chicago Illinois USA ,2024-04-20,14247
692724,Houston Texas USA ,2024-04-20,20115
692725,Kansas City Kansas USA ,2024-04-20,19637
692726,Commerce City Colorado USA ,2024-04-20,7492
692728,Los Angeles California USA ,2024-04-20,
692727,Seattle Washington USA ,2024-04-20,30550
692714,Atlanta Georgia USA ,2024-04-14,42763
692715,St. Louis Missouri USA ,2024-04-14,22423
692703,Portland Oregon USA ,2024-04-13,23245
692708,Montreal Canada ,2024-04-13,19619
692705,Charlotte North Carolina USA ,2024-04-13,31414
692707,Washington District of Columbia USA ,2024-04-13,18615
692704,New York City USA ,2024-04-13,20744
692706,Harrison New Jersey USA ,2024-04-13,17501
692710,Frisco Texas USA ,2024-04-13,19096
692709,Saint Paul Minnesota USA ,2024-04-13,19658
692711,Kansas City Missouri USA ,2024-04-13,72610
692712,Sandy Utah USA ,2024-04-13,20033
692713,San Jose California USA ,2024-04-13,14232
692702,Vancouver Canada ,2024-04-13,25026
692701,Kansas City Kansas USA ,2024-04-07,17424
692690,Columbus Ohio USA ,2024-04-06,20740
692691,Cincinnati Ohio USA ,2024-04-06,25513
692692,Fort Lauderdale Florida USA ,2024-04-06,20868
692693,Foxborough Massachusetts USA ,2024-04-06,22196
692689,New York New York USA ,2024-04-06,21497
692688,Vancouver Canada ,2024-04-06,24678
692694,Los Angeles California USA ,2024-04-06,22321
692698,Austin Texas USA ,2024-04-06,20738
692697,Chicago Illinois USA ,2024-04-06,18844
692696,Saint Paul Minnesota USA ,2024-04-06,19568
692695,Nashville Tennessee USA ,2024-04-06,27739
692699,St. Louis Missouri USA ,2024-04-06,22423
692700,Seattle Washington USA ,2024-04-06,30013
692687,Atlanta Georgia USA ,2024-03-31,42525
692675,Chester Pennsylvania USA ,2024-03-30,19047
692676,Commerce City Colorado USA ,2024-03-30,14386
692681,Charlotte North Carolina USA ,2024-03-30,30043
692680,Washington District of Columbia USA ,2024-03-30,18402
692679,Fort Lauderdale Florida USA ,2024-03-30,21550
692678,Orlando Florida USA ,2024-03-30,23859
692677,Toronto Canada ,2024-03-30,24382
692684,Austin Texas USA ,2024-03-30,20738
692682,Houston Texas USA ,2024-03-30,16184
692683,Nashville Tennessee USA ,2024-03-30,28613
692685,Sandy Utah USA ,2024-03-30,19357
692686,Carson California USA ,2024-03-30,22736
692674,Vancouver Canada ,2024-03-30,24693
692662,Foxborough Massachusetts USA ,2024-03-23,15269
692663,Harrison New Jersey USA ,2024-03-23,25219
692666,Charlotte North Carolina USA ,2024-03-23,30104
692664,Cincinnati Ohio USA ,2024-03-23,24282
692665,Orlando Florida USA ,2024-03-23,20985
692667,Toronto Canada ,2024-03-23,25768
692661,Vancouver Canada ,2024-03-23,22178
692668,Kansas City Kansas USA ,2024-03-23,18102
692669,St. Louis Missouri USA ,2024-03-23,22423
692670,Commerce City Colorado USA ,2024-03-23,13432
692672,Los Angeles California USA ,2024-03-23,22030
692671,Portland Oregon USA ,2024-03-23,23046
692673,San Jose California USA ,2024-03-23,16109
692659,Foxborough Massachusetts USA ,2024-03-17,14557
692660,Atlanta Georgia USA ,2024-03-17,42631
692647,Chicago Illinois USA ,2024-03-16,14874
692648,Washington District of Columbia USA ,2024-03-16,19365
692649,Seattle Washington USA ,2024-03-16,30036
692650,Columbus Ohio USA ,2024-03-16,20314
692651,New York City USA ,2024-03-16,18623
692652,Austin Texas USA ,2024-03-16,20738
692657,Frisco Texas USA ,2024-03-16,19096
692656,Houston Texas USA ,2024-03-16,16003
692653,Saint Paul Minnesota USA ,2024-03-16,19315
692655,Nashville Tennessee USA ,2024-03-16,28008
692654,Kansas City Kansas USA ,2024-03-16,18219
692658,Carson California USA ,2024-03-16,25174
692644,Cincinnati Ohio USA ,2024-03-10,25513
692645,Nashville Tennessee USA ,2024-03-10,28316
692646,Fort Lauderdale Florida USA ,2024-03-10,21212
692633,New York City USA ,2024-03-09,24774
692634,Toronto Canada ,2024-03-09,26345
692635,Atlanta Georgia USA ,2024-03-09,67727
692637,Columbus Ohio USA ,2024-03-09,20327
692639,Harrison New Jersey USA ,2024-03-09,19284
692638,Orlando Florida USA ,2024-03-09,23025
692640,Austin Texas USA ,2024-03-09,20738
692641,Sandy Utah USA ,2024-03-09,20147
692642,Los Angeles California USA ,2024-03-09,22175
692643,San Jose California USA ,2024-03-09,16045
692632,Foxborough Massachusetts USA ,2024-03-03,29293
692620,Saint Paul Minnesota USA ,2024-03-02,19906
692621,Sandy Utah USA ,2024-03-02,19509
692622,Fort Lauderdale Florida USA ,2024-03-02,21352
692619,Vancouver Canada ,2024-03-02,29624
692624,Chicago Illinois USA ,2024-03-02,26592
692625,Frisco Texas USA ,2024-03-02,19096
692627,Houston Texas USA ,2024-03-02,16516
692626,Kansas City Kansas USA ,2024-03-02,19942
692623,St. Louis Missouri USA ,2024-03-02,22423
692628,Commerce City Colorado USA ,2024-03-02,16223
692630,Portland Oregon USA ,2024-03-02,20221
692629,San Jose California USA ,2024-03-02,18000
692631,Seattle Washington USA ,2024-03-02,30067
692616,Cincinnati Ohio USA ,2024-02-25,25513
692617,Nashville Tennessee USA ,2024-02-25,30109
692618,Carson California USA ,2024-02-25,27642
692605,Columbus Ohio USA ,2024-02-24,20406
692606,Los Angeles California USA ,2024-02-24,22214
692608,Charlotte North Carolina USA ,2024-02-24,62291
692609,Washington District of Columbia USA ,2024-02-24,19215
692607,Orlando Florida USA ,2024-02-24,24249
692610,Chester Pennsylvania USA ,2024-02-24,18734
692614,Austin Texas USA ,2024-02-24,20738
692613,Frisco Texas USA ,2024-02-24,19906
692611,Houston Texas USA ,2024-02-24,18818
692612,St. Louis Missouri USA ,2024-02-24,22423
692615,Portland Oregon USA ,2024-02-24,21411
692604,Fort Lauderdale Florida USA ,2024-02-21,21137
660065,Charlotte North Carolina USA ,2023-10-21,66101
660058,Columbus Ohio USA ,2023-10-21,20526
660057,Cincinnati Ohio USA ,2023-10-21,25513
660064,Nashville Tennessee USA ,2023-10-21,27875
660061,Foxborough Massachusetts USA ,2023-10-21,41355
660066,New York New York USA ,2023-10-21,23260
660060,Toronto Canada ,2023-10-21,27556
660068,Commerce City Colorado USA ,2023-10-21,17538
660056,Carson California USA ,2023-10-21,22491
660063,Portland Oregon USA ,2023-10-21,25218
660055,San Jose California USA ,2023-10-21,18000
660059,Kansas City Kansas USA ,2023-10-21,20479
660062,St. Louis Missouri USA ,2023-10-21,22423
660067,Vancouver Canada ,2023-10-21,25146
659915,Fort Lauderdale Florida USA ,2023-10-18,19615
660034,Frisco Texas USA ,2023-10-14,16014
659923,Nashville Tennessee USA ,2023-10-14,27780
659925,Carson California USA ,2023-10-14,20673
660047,Atlanta Georgia USA ,2023-10-07,42684
660041,Montreal Canada ,2023-10-07,17559
660042,Washington District of Columbia USA ,2023-10-07,19215
660045,Fort Lauderdale Florida USA ,2023-10-07,20344
660044,Harrison New Jersey USA ,2023-10-07,24506
660043,Orlando Florida USA ,2023-10-07,24440
660046,Chester Pennsylvania USA ,2023-10-07,19387
660049,Austin Texas USA ,2023-10-07,20738
660050,Chicago Illinois USA ,2023-10-07,18308
660051,Frisco Texas USA ,2023-10-07,17474
660052,Houston Texas USA ,2023-10-07,16430
660048,Saint Paul Minnesota USA ,2023-10-07,19693
660053,Sandy Utah USA ,2023-10-07,21205
660054,Seattle Washington USA ,2023-10-07,33666
660030,Montreal Canada ,2023-10-04,13509
660029,Charlotte North Carolina USA ,2023-10-04,30080
660032,Cincinnati Ohio USA ,2023-10-04,25513
660031,Foxborough Massachusetts USA ,2023-10-04,14144
660033,Chester Pennsylvania USA ,2023-10-04,18605
660037,Austin Texas USA ,2023-10-04,20738
660036,Chicago Illinois USA ,2023-10-04,62124
660035,Nashville Tennessee USA ,2023-10-04,25273
660038,Los Angeles California USA ,2023-10-04,22041
660040,Seattle Washington USA ,2023-10-04,30495
660039,Vancouver Canada ,2023-10-04,13776
660028,Los Angeles California USA ,2023-10-01,22221
660016,Columbus Ohio USA ,2023-09-30,20456
660020,Fort Lauderdale Florida USA ,2023-09-30,20135
660018,Foxborough Massachusetts USA ,2023-09-30,37701
660017,Harrison New Jersey USA ,2023-09-30,20347
660015,Orlando Florida USA ,2023-09-30,19637
660019,Toronto Canada ,2023-09-30,24658
660022,Houston Texas USA ,2023-09-30,18175
660023,Saint Paul Minnesota USA ,2023-09-30,19645
660021,Nashville Tennessee USA ,2023-09-30,28291
660024,St. Louis Missouri USA ,2023-09-30,22423
660025,Commerce City Colorado USA ,2023-09-30,15931
660027,Carson California USA ,2023-09-30,23101
660026,Vancouver Canada ,2023-09-30,19442
659917,Chester Pennsylvania USA ,2023-09-27,18515
659841,Commerce City Colorado USA ,2023-09-27,12064
660014,Austin Texas USA ,2023-09-25,20738
660003,Harrison New Jersey USA ,2023-09-24,7417
660013,Orlando Florida USA ,2023-09-24,25527
660002,Atlanta Georgia USA ,2023-09-23,42569
660001,Washington District of Columbia USA ,2023-09-23,12591
660004,Cincinnati Ohio USA ,2023-09-23,25513
660005,Chester Pennsylvania USA ,2023-09-23,18738
660008,Chicago Illinois USA ,2023-09-23,20129
660009,Frisco Texas USA ,2023-09-23,17948
660006,Saint Paul Minnesota USA ,2023-09-23,19197
660007,Kansas City Kansas USA ,2023-09-23,18033
660010,Sandy Utah USA ,2023-09-23,19243
660012,Portland Oregon USA ,2023-09-23,22248
660011,San Jose California USA ,2023-09-23,16728
659992,Montreal Canada ,2023-09-20,13603
659991,Charlotte North Carolina USA ,2023-09-20,28584
659990,Columbus Ohio USA ,2023-09-20,20349
659989,Washington District of Columbia USA ,2023-09-20,15762
659988,Fort Lauderdale Florida USA ,2023-09-20,19659
659993,New York New York USA ,2023-09-20,15238
659987,Harrison New Jersey USA ,2023-09-20,13562
659995,Houston Texas USA ,2023-09-20,13866
659994,Kansas City Kansas USA ,2023-09-20,16825
659996,St. Louis Missouri USA ,2023-09-20,22423
659997,Commerce City Colorado USA ,2023-09-20,12548
659998,Sandy Utah USA ,2023-09-20,17842
660000,Carson California USA ,2023-09-20,16120
