MatchID,Location,Date,Attendance
660065,Charlotte North Carolina USA ,2023-10-21,66101
660058,Columbus Ohio USA ,2023-10-21,20526
660057,Cincinnati Ohio USA ,2023-10-21,25513
660064,Nashville Tennessee USA ,2023-10-21,27875
660061,Foxborough Massachusetts USA ,2023-10-21,41355
660066,New York New York USA ,2023-10-21,23260
660060,Toronto Canada ,2023-10-21,27556
660068,Commerce City Colorado USA ,2023-10-21,17538
660056,Carson California USA ,2023-10-21,22491
660063,Portland Oregon USA ,2023-10-21,25218
660055,San Jose California USA ,2023-10-21,18000
660059,Kansas City Kansas USA ,2023-10-21,20479
660062,St. Louis Missouri USA ,2023-10-21,22423
660067,Vancouver Canada ,2023-10-21,25146
659915,Fort Lauderdale Florida USA ,2023-10-18,19615
660034,Frisco Texas USA ,2023-10-14,16014
659923,Nashville Tennessee USA ,2023-10-14,27780
659925,Carson California USA ,2023-10-14,20673
660047,Atlanta Georgia USA ,2023-10-07,42684
660041,Montreal Canada ,2023-10-07,17559
660042,Washington District of Columbia USA ,2023-10-07,19215
660045,Fort Lauderdale Florida USA ,2023-10-07,20344
660044,Harrison New Jersey USA ,2023-10-07,24506
660043,Orlando Florida USA ,2023-10-07,24440
660046,Chester Pennsylvania USA ,2023-10-07,19387
660049,Austin Texas USA ,2023-10-07,20738
660050,Chicago Illinois USA ,2023-10-07,18308
660051,Frisco Texas USA ,2023-10-07,17474
660052,Houston Texas USA ,2023-10-07,16430
660048,Saint Paul Minnesota USA ,2023-10-07,19693
660053,Sandy Utah USA ,2023-10-07,21205
660054,Seattle Washington USA ,2023-10-07,33666
660030,Montreal Canada ,2023-10-04,13509
660029,Charlotte North Carolina USA ,2023-10-04,30080
660032,Cincinnati Ohio USA ,2023-10-04,25513
660031,Foxborough Massachusetts USA ,2023-10-04,14144
660033,Chester Pennsylvania USA ,2023-10-04,18605
660037,Austin Texas USA ,2023-10-04,20738
660036,Chicago Illinois USA ,2023-10-04,62124
660035,Nashville Tennessee USA ,2023-10-04,25273
660038,Los Angeles California USA ,2023-10-04,22041
660040,Seattle Washington USA ,2023-10-04,30495
660039,Vancouver Canada ,2023-10-04,13776
